net,length_um
_1514_,27.1
_1444_,27.04
_1213_,26.98
RF.reg_arr\[13\]\[31\],26.96
RF.reg_arr\[16\]\[27\],26.94
RF.reg_arr\[17\]\[10\],26.94
RF.reg_arr\[12\]\[30\],26.9
RF.reg_arr\[31\]\[4\],26.9
RF.reg_arr\[14\]\[10\],26.86
_2274_,26.86
_1889_,26.8
RF.reg_arr\[30\]\[14\],26.795
RF.reg_arr\[27\]\[23\],26.78
RF.reg_arr\[4\]\[25\],26.78
RF.reg_arr\[28\]\[17\],26.76
RF.reg_arr\[20\]\[30\],26.74
RF.reg_arr\[18\]\[13\],26.715
RF.reg_arr\[20\]\[27\],26.7
_2002_,26.68
_2290_,26.68
_2746_,26.66
RF.reg_arr\[21\]\[26\],26.64
net70,26.64
RF.reg_arr\[17\]\[3\],26.6
RF.reg_arr\[17\]\[11\],26.58
_2296_,26.56
RF.reg_arr\[28\]\[0\],26.54
_2034_,26.54
RF.reg_arr\[5\]\[26\],26.52
_1073_,26.52
RF.reg_arr\[14\]\[14\],26.48
RF.reg_arr\[27\]\[29\],26.48
RF.reg_arr\[21\]\[12\],26.46
RF.reg_arr\[27\]\[5\],26.42
RF.reg_arr\[29\]\[5\],26.42
RF.reg_arr\[24\]\[28\],26.4
RF.reg_arr\[24\]\[30\],26.38
RF.reg_arr\[25\]\[10\],26.38
RF.reg_arr\[4\]\[5\],26.38
RF.reg_arr\[22\]\[10\],26.35
RF.reg_arr\[29\]\[2\],26.34
RF.reg_arr\[26\]\[10\],26.335
RF.reg_arr\[2\]\[2\],26.33
RF.reg_arr\[23\]\[29\],26.32
RF.reg_arr\[8\]\[7\],26.32
_2601_,26.3
RF.reg_arr\[25\]\[27\],26.235
RF.reg_arr\[22\]\[25\],26.23
RF.reg_arr\[16\]\[14\],26.22
RF.reg_arr\[12\]\[27\],26.18
RF.reg_arr\[28\]\[10\],26.14
RF.reg_arr\[15\]\[17\],26.12
RF.reg_arr\[31\]\[24\],26.1
_2909_,26.06
_1570_,25.98
RF.reg_arr\[19\]\[14\],25.96
